tweets,likes,time
not me creating a murder to do list for the characters that i hate the most  and also not me titling the lord henry from picture of the dorian gray at the top because he’s an asshole misogynist,1,2021-07-13 12:18:44
i think that qualifies as a form of hate speech frydenburg morrison really hate any discourse which reflects the picture of dorian gray their govt is to paraphrase sam maiden  they drink their own bath water gaslighting and toxic positivity  like trump  is their way,21,2021-07-13 10:50:19
the picture of dorian gray ambageni,0,2021-07-13 05:41:14
chiltern classic series is so beautiful  want the picture of dorian gray but its not available in the store,0,2021-07-13 03:49:06
picture of dorian gray is really good but if you don’t want to read a full novel i suggest starting out with some of his plays the importance of being ernest amp a woman of no importance were a couple of my favs,1,2021-07-13 03:39:31
currently manifesting a picture of dorian gray situation where each time i stub my toe or slam my elbow into something the stanley cup takes my damage i want it to have the texture of a thimble,4,2021-07-13 03:12:07
i read the picture of dorian gray and attached myself to lord henry wotton at too impressionable an age and now i will literally do anything just for the experience,4,2021-07-13 02:59:48
the picture of dorian gray and the secret history i have successfully gotten through like one page in both of those bc im lazy i can rec some comics web comics too if you want,1,2021-07-13 02:50:22
"""what the invention of oilpainting was to the venetians the face of antinous was to late greek sculpture and the face of dorian gray will some day be to me"" oscar wilde the picture of dorian gray",4,2021-07-13 01:41:17
estou lendo   do george orwell  the picture of dorian gray do oscar wilde,1,2021-07-13 01:38:39
i think getting  volumes of black butler and the picture of dorian gray in a single library trip is probably a symptom of some previously undescribed mental illness,2,2021-07-13 01:38:22
ten great lines from novels the curves of your lips rewrite history —oscar wilde the picture of dorian gray i took a deep breath and listened to the old brag of my heart i am i am i am—sylvia plath the bell jar  writerslife,5,2021-07-13 00:31:21
the picture of dorian gray,0,2021-07-13 00:19:33
– pandro s berman aged  us filmmaker b   picture of dorian gray  the three musketeers  the bribe  father of bride  ivanhoe  knights of the round table  blackboard jungle  bhowani junction  butterfield   sweet bird of youth  a patch of blue,2,2021-07-12 23:50:22
—— cr the picture of dorian gray,12,2021-07-12 23:48:36
i think it’s going to be the picture of dorian gray wbu,0,2021-07-12 22:47:55
like the picture of dorian gray for the cancervatives,0,2021-07-12 22:47:11
i enjoy the picture of dorian gray way too much,0,2021-07-12 21:55:49
super basic but the picture of dorian gray,0,2021-07-12 21:41:11
so cliche but read the bell jar kafka by the shore a picture of dorian gray they should watch trainspotting sofia coppola’s movies mcqueen and bojack horseman and listen to slowdive around the fur geidi primes disintegration crystal castles,1,2021-07-12 21:12:50
i did not enjoy the ending of the picture of dorian gray by oscar wilde i turned the page expecting there to be more but then it was just the acknowledgments so upsetting–– was also read in the middle of a cafe in the upper east side nyc while it was pouring outside and i had,0,2021-07-12 20:57:57
the picture of dorian gray will forever be a top tier book assigned from school,0,2021-07-12 20:25:49
some things are more precious because they dont last long  oscar wilde the picture of dorian gray this is exactly how we feel about our handmade prcious cupcakes and this cheesecakeinspired black bottom treat available instore and online at,1,2021-07-12 20:13:50
don’t break the chain   home screen cant find the pic but solid colour to make my homescreen cute  last song  recent th pic the picture of dorian gray quote  wont  anyone but whoever sees this n wants do it,2,2021-07-12 19:55:13
the picture of dorian gray,1,2021-07-12 18:06:30
he is progressing along like the painting in the picture of dorian gray,3,2021-07-12 17:58:15
i finished to read the picture of dorian gray,0,2021-07-12 17:36:59
its a wonderful life the picture of dorian gray citizen kane a matter of life and death,1,2021-07-12 17:21:04
dorian gray glanced at the picture and suddenly an uncontrollable feeling of hatred for basil hallward came over him as though it had been suggested to him by the image on the canvas whispered into his ear by those grinning lips,5,2021-07-12 16:34:40
ah yes i already picked picture of dorian gray but im quite sceptical about pride and prejudice sadly these are the only books by said authors that we can pick might give it a shot now that youre recommending it thank you,1,2021-07-12 16:34:19
the picture of dorian gray   if we were villains,2,2021-07-12 16:30:13
"""behind every exquisite thing that existed there was something tragic…""  quoted from our favourite duplicitous tale wildes fantastic the picture of dorian gray",0,2021-07-12 16:00:00
what’s the point of chapter  of the picture of dorian gray i literally have no idea what im reading,0,2021-07-12 15:39:19
close to my heart  pride and prejudice a streetcar named desire wuthering heights julius caesar the picture of dorian gray man and superman  i hate nothing but dislike  david copperfield i just didnt like it  i will recommend all my close to heart ones lol,3,2021-07-12 15:27:50
well i usually read extracts like this people post but ive been trying to read more i started the picture of dorian gray oscar wilde is often quoted and associated with the modern da aesthetic so maybe read that,1,2021-07-12 15:12:55
ppl fancasting ben barnes as sirius always makes me laugh like the pictures they use is from the picture of dorian gray and he’s wearing all those expensive and fancy ass clothes and i just go  u guys know sirius did not want anything to do with his rich ass family right,0,2021-07-12 15:06:07
i usually read ya romance novels and id like to broaden my horizons so anything you like i did like the picture of dorian gray though,1,2021-07-12 14:35:12
plays  the picture of dorian gray  roles,0,2021-07-12 14:26:06
wait what about the picture of dorian gray,0,2021-07-12 14:25:57
currently reading the picture of dorian gray by oscar wilde amp at this point just assume i’m reading priory until i say i’m done,1,2021-07-12 14:25:09
"the first image is a  map showing the footprint of buildings before parking dominated source emory library   to me this is atlantas ""picture of dorian gray"" the ugly reality at the citys historic heart which displays our soul in contrast to a facade of progress",44,2021-07-12 13:47:28
let me correct myself ive read other disturbingly sck books over the years a flowers in the attic b the hannibal lecter series c the picture of dorian gray creepy creepy ones but what a read,1,2021-07-12 13:45:59
you’ve probably read it but the picture of dorian gray,0,2021-07-12 13:29:32
the picture of dorian gray by oscar wilde and our little cruelties by liz nugent came to mind first️,0,2021-07-12 13:22:28
the more i watch these constitutional court proceedings the more i am reminded of this passage from oscar wildes novel the picture of dorian gray,0,2021-07-12 13:12:24
old movie dorian gray is about a man who kept a picture of himself which aged over time instead of the man all the evil he committed showed up on the face of the picture while the living man retained his physical beauty picture horrible man handsome bill no longer handsome,1,2021-07-12 11:17:40
the picture of dorian gray by oscar wilde   followme,0,2021-07-12 10:38:13
i saw francis greenslade if memory serves me correctly as a teenager at club foote in adelaide doing the picture of dorian gray  an underrated super talent,7,2021-07-12 10:24:36
"when i like people immensely i never tell their names to any one it is like surrendering a part of them i have grown to love secrecy it seems to be the one thing that can make modern life mysterious or marvellous to us   ~""the picture of dorian gray"" by oscar wilde",2,2021-07-12 10:18:21
the futureheads  a picture of dorian gray  via youtube,2,2021-07-12 08:32:59
there’s a creepy picture of dorian gray thing happening here where the bear’s expression is your expression from image  as if he absorbs the melancholy that poisons your life while you are free to live in decadence and turpitude,2,2021-07-12 07:54:43
"considering how bad he looks the picture in the attic must be truly ghastly small thing that always niggles my mild ocdits ""the picture of dorian gray"" not portrait not your fault a common misconception please forgive me for being slightly pedantic",2,2021-07-12 05:30:47
im reading the picture of dorian gray and i forgot how i imagined the characters and how fruity this book is,0,2021-07-12 03:56:18
ten great lines from novels the curves of your lips rewrite history —oscar wilde the picture of dorian gray i took a deep breath and listened to the old brag of my heart i am i am i am—sylvia plath the bell jar  writerslife,6,2021-07-12 03:04:43
the alchemist  the picture of dorian gray   divine error,0,2021-07-12 02:07:04
reading a book thats like if the picture of dorian gray took place in pittsburgh in the s and basil was homophobic,0,2021-07-12 02:03:06
oh dear biden just came to my door and took my bibles guns meat some silverware my picture of dorian gray my coziest comforter and a lightsaber he put up my christmas tree and tore it to shreds then kicked a puppy on the way out,2,2021-07-12 01:55:51
"tonight for the third or fourth time i can remember dad asked me if it was edgar allan poe who wrote the picture of dorian gray and if ""you cant go home again"" was a thomas paine quote",0,2021-07-12 01:39:36
— the picture of dorian gray oscar wilde,1,2021-07-12 01:29:54
the picture of dorian gray oscar wilde,1,2021-07-12 01:26:14
i really wanna finish the picture of dorian gray so bad but every time i opened it my brain just stops working and i suddenly don’t know english,1,2021-07-12 00:58:36
the picture of dorian gray made me rabid like i wanted to bite people,5,2021-07-12 00:56:13
random insult  oh you’re the very picture of…  …dorian gray,2,2021-07-12 00:53:58
listening to ben barnes reading the picture of dorian gray and smiling at the voices he is making but his voice is so smooth,2,2021-07-12 00:04:26
im definitely into classics theory and history  some of my favorite fiction classics are mobydick to the lighthouse picture of dorian gray  i mainly stick to nonfiction these days though currently reading capital by marx and mythologies by roland barthes,1,2021-07-11 23:49:21
i wanna have my own copy of animal farm and the picture of dorian gray,0,2021-07-11 23:28:40
hi let’s be moots i’ve just finished the song of achilles and the picture of dorian gray is my favorite,0,2021-07-11 21:11:15
"when i like people immensely i never tell their names to any one it is like surrendering a part of them i have grown to love secrecy it seems to be the one thing that can make modern life mysterious or marvellous to us   ~""the picture of dorian gray"" by oscar wilde",17,2021-07-11 19:46:58
"a quote i read once may not be word to word    ""the stupid have the best of it in this world they live undisturbed indifferent and without disquiet""   oscar wilde the picture of dorian gray",1,2021-07-11 19:44:07
books carry on the secret history the picture of dorian gray don’t stop thinking about tomorrow  the catcher in the rye little women the perks of being a wallflower  aristotele and dante discover the secrets of the universe come anima mai,0,2021-07-11 19:43:40
yes im currently buddy reading the picture of dorian gray with,1,2021-07-11 19:34:49
its called the picture of dorian gray would you like a review,1,2021-07-11 19:05:54
i got the picture of dorian gray and one last stop i really hope they’re good i’m excited,1,2021-07-11 19:04:33
oh mu god im in love u have the nicest editions oh my god thag copy of the iliad amp the odyssey amp the picture of dorian gray  i cant,1,2021-07-11 18:27:46
so imagine this in how to get away with murder first season whenever they go back to that night picture this like in the picture of dorian gray or grey about the painting or portrait or yule log,1,2021-07-11 18:00:14
i hate  hour shifts but i know ive gotta do this to make up for the uncensored annotated copy of picture of dorian gray i ordered bc she was expensive,3,2021-07-11 17:47:37
the picture of dorian gray’s feet,0,2021-07-11 17:37:24
yes its truly insane that an attractive person is attractive i cant think of a single word to describe this situation that would be more accurate marisa tomei was hot in this movie and still is the film version of her didnt age like the picture of dorian gray insane,0,2021-07-11 17:35:08
the picture of dorian gray will forever be one of my favourite books and oscar wilde’s writing style is just chef’s kiss,0,2021-07-11 17:31:56
i have seen my soul its rotten black as coal for all i see is decay take a look take a look at the picture of dorian gray  pyogenesis,0,2021-07-11 17:08:54
im really enjoying the picture of dorian gray,3,2021-07-11 16:50:30
the cashier asked me what my fav book was and when i said the picture of dorian gray she shuddered exactly she said it was so eerie and that reaction is exactly how i felt reading it,0,2021-07-11 16:30:35
"absolutely love this line from the picture of dorian gray ""women just dont appreciate hot dudes the same way that men do""",1,2021-07-11 15:48:11
experience is merely the name men gave to their mistakes ― oscar wilde the picture of dorian gray  rashami as palak awaited    tandoor,0,2021-07-11 15:19:55
should i read my policeman for fun or the picture of dorian gray for school,0,2021-07-11 15:16:11
cr the picture of dorian gray,0,2021-07-11 15:14:32
~ the picture of dorian gray    blackandwhitephotography,45,2021-07-11 14:28:40
he reminds me of dorian gray  a nickname applied to someone who doesnt seem to age the phrase refers to the character in oscar wildes novel the picture of dorian gray who makes a deal with an artist so that a painting of him ages but he does not,0,2021-07-11 14:21:28
"""there is only one thing in the world worse than being talked about and that is not being talked about"" — oscar wilde the picture of dorian gray",0,2021-07-11 12:59:46
some things are more precious because they don’t last long  oscar wilde the picture of dorian gray,80,2021-07-11 12:59:41
i am too fond of reading books to care to write them  ― oscar wilde the picture of dorian gray,0,2021-07-11 12:33:42
the picture of dorian gray,0,2021-07-11 11:47:01
now i can see that being his real picture  more repulsive than the picture of dorian gray,2,2021-07-11 09:40:23
me needs to finish the picture of dorian gray for my exams which i love very much dont get me wrong  also me reads poetry for no reason,0,2021-07-11 09:30:19
why did i ever doubt that the picture of dorian gray was gay,7,2021-07-11 09:10:02
on the road lord of the flies picture of dorian gray,2,2021-07-11 08:57:18
i think i’m gonna start reading six of crows or the picture of dorian gray hmm  have u read either of it  is it good d,0,2021-07-11 05:38:15
me what r i buying i’m getting the picture of dorian gray,1,2021-07-11 05:38:14
"im listening to ""the picture of dorian gray"" and so far its just been  hours of the  main dudes describing what an absolute babe he is and his hot oblivious energy i recommend",1,2021-07-11 03:50:31
hi im new to and i need moots   here are some of the books i love  catcher in the rye  pride and prej picture of dorian gray the secret history  some books on my tbr  tsoa red white  royal blue if we were villains   pls likert if u want to be mutuals lt,3,2021-07-11 03:32:24
"""women as some witty frenchman once put it inspire us with the desire to do masterpieces and always prevent us from carrying them out""   oscar wilde the picture of dorian gray and other writings  women",0,2021-07-11 01:30:03
have you read the picture of dorian gray my english teacher raved about it and i enjoyed it a lot,0,2021-07-11 00:44:52
kafka  on  the  shore  the  picture  of  dorian  gray  and  the  old  man  and  the  sea  the  old  man  and  the  sea  is  my  personal  favorite  so  that  one  is  a  must  read,0,2021-07-10 23:48:15
i finished the picture of dorian gray very humiliating to admit i started it over a year ago i’m so bad at reading physical books,0,2021-07-10 23:47:16
i’m reading the picture of dorian gray for the first time and this is lord henry lmao,1,2021-07-10 23:45:59
la cauntatrice chauve ionesco in paris mid s i still have the poster that i bought from the theatre when i was   i was mesmerised also rupert everett in the picture of dorian gray at when i was  he was staggering,2,2021-07-10 22:57:00
currently reading the picture of dorian gray i’m getting a bit of a gay vibe from it not sure why,1,2021-07-10 22:41:43
rewritehistory to live is the rarest thing in the world most people exist that is all · the picture of dorian gray oscar wilde,0,2021-07-10 21:59:54
] what does nf mean gen ] literally my go to is just gonna be mbs but i also got back into reading by reading classics and would recommend like the picture of dorian gray,1,2021-07-10 21:50:18
oh shit i never finished the picture of dorian gray,2,2021-07-10 21:46:06
the picture of dorian gray,1,2021-07-10 21:43:07
btw helloo im new to amp im looking for some moots favs  twilight  aristole and dante discover the secrets of the universe   circe amp tsoa  the hobbit  the picture of dorian gray tbr   looking for alaska  ill give you the sun  city of bones  the mistake,23,2021-07-10 21:27:42
flurry listening politely to me reading the picture of dorian gray to him  and mispronouncing too many words σ〃▽〃٥,9,2021-07-10 20:14:04
‘the picture of dorian gray’,0,2021-07-10 20:03:05
hiiii  i’m winnie d new to looking for mutuals ]  my favs  the song of achilles   they both die at the end  crush by richard siken   tbr   the picture of dorian gray  six of crows  kafka on the shore  pleeease rt or like to be mutuals mwah lt for u,11,2021-07-10 19:46:46
the picture of dorian gray has big abo vibes all of it the whole book,2,2021-07-10 19:44:52
the picture of dorian gray is so,0,2021-07-10 19:22:13
the dick picture of dorian gray addawordruinamovie,0,2021-07-10 18:24:46
done with the picture of dorian gray by oscar wilde,0,2021-07-10 18:09:30
i’m annotating perks of being a wallflower for them and they’re annotating the picture of dorian gray for me,3,2021-07-10 18:07:27
just started reading the picture of dorian gray,0,2021-07-10 18:01:15
"if true the heart hides terrible things a good illustration is ""the picture of dorian gray"" by oscar wilde you have to know beyond the surface",1,2021-07-10 17:56:06
wonwoo would be reading a classic i think so maybe something like peide and prejudice or the picture of dorian gray for some reason i feel like shua or hao might like crime so maybe sherlock or something like one of us is lying,0,2021-07-10 17:12:16
just rereading the picture of dorian gray by oscar wilde while i’m waiting on a series of books to arrive in a day or two,0,2021-07-10 17:00:44
nfsw  the nude picture of dorian gray in dorian gay is changing omg its fucking changing oomfies bc he was a butch sybil yooooooooo what the fuck this is literally dorian gray,1,2021-07-10 16:12:07
picture of the dorian gray  it has faded from my head now,0,2021-07-10 14:56:32
hallward’s picture of dorian gray is considered by many the ultimate achievement yet his protege always thought there was something inelegant about giving immortality to someone else  the young artist stared into the mirror and began his self portrait scifansat,36,2021-07-10 14:35:58
nowadays people know the price of everything and the value of nothing   oscar wilde the picture of dorian gray,1,2021-07-10 14:13:26
