tweets,likes,time
"Not me creating a “murder to do list” for the characters that I hate the most. 👀
And also not me titling the Lord Henry (from picture of the Dorian Gray) at the top because he’s an asshole misogynist. 🙌🏻",1,2021-07-13 12:18:44
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 12:00:57
"RT @iamqotl: @sallymcmanus I think that qualifies as a form of hate speech.
Frydenburg, Morrison really hate any discourse which reflects t…",0,2021-07-13 11:26:56
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 11:18:50
"RT @iamqotl: @sallymcmanus I think that qualifies as a form of hate speech.
Frydenburg, Morrison really hate any discourse which reflects t…",0,2021-07-13 11:12:27
"RT @Louise_Salome_: Some things are more precious 
 because they don't last long.
You will always be fond of me. 
I represent to you all th…",0,2021-07-13 11:11:07
"@sallymcmanus I think that qualifies as a form of hate speech.
Frydenburg, Morrison really hate any discourse which reflects the picture of Dorian Gray their govt is.
To paraphrase Sam Maiden - they drink their own bath water. Gaslighting and toxic positivity - like Trump - is their way.",21,2021-07-13 10:50:19
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 09:06:30
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 08:19:58
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 08:13:04
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 06:53:52
"The Picture of Dorian Gray.
@ambageni https://t.co/fVoM8APMmL",0,2021-07-13 05:41:14
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 05:14:22
"RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…",0,2021-07-13 05:05:53
"RT @LiteratureFace: ""What the invention of oil-painting was to the Venetians, the face of Antinous was to late Greek sculpture, and the fac…",0,2021-07-13 04:53:17
"RT @bookhooe: btw helloo i'm new to #booktwt &amp; i'm looking for some moots!!
favs:
- twilight
- aristole and dante discover the secrets of t…",0,2021-07-13 04:13:49
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 03:56:58
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 03:56:11
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 03:52:59
Chiltern Classic series is so beautiful 😍 want The Picture of Dorian Gray but it's not available in the store https://t.co/cwRmdiqi1P,0,2021-07-13 03:49:06
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 03:43:31
"@ryanthestan picture of dorian gray is really good but if you don’t want to read a full novel, i suggest starting out with some of his plays (the importance of being ernest &amp; a woman of no importance were a couple of my favs)",1,2021-07-13 03:39:31
"RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me…",0,2021-07-13 03:38:37
"i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice

so yeah follow me if u like
- the seven husbands of evelyn hugo
- the poppy war
- percy jackson
- the picture of dorian gray
- harry potter
- the raven cycle

RT/LIKE PLEASE 🥰",54,2021-07-13 03:37:12
"RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…",0,2021-07-13 03:23:41
"RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…",0,2021-07-13 03:20:25
"RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…",0,2021-07-13 03:13:33
currently manifesting a picture of dorian gray situation where each time I stub my toe or slam my elbow into something the stanley cup takes my damage. i want it to have the texture of a thimble,4,2021-07-13 03:12:07
I read The Picture of Dorian Gray and attached myself to Lord Henry Wotton at too impressionable an age and now I will literally do anything just for the experience,4,2021-07-13 02:59:48
@gatitomars the picture of dorian gray and the secret history (i have successfully gotten through like one page in both of those bc im lazy) i can rec some comics/ web comics too if you want-,1,2021-07-13 02:50:22
"RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…",0,2021-07-13 02:46:57
"RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…",0,2021-07-13 02:44:41
"""What the invention of oil-painting was to the Venetians, the face of Antinous was to late Greek sculpture, and the face of Dorian Gray will some day be to me."" (Oscar Wilde, The Picture of Dorian Gray 1890)",4,2021-07-13 01:41:17
"estou lendo:
- 1984, do george orwell
- the picture of dorian gray, do oscar wilde",1,2021-07-13 01:38:39
I think getting 5 volumes of black butler and the picture of dorian gray in a single library trip is probably a symptom of some previously undescribed mental illness,2,2021-07-13 01:38:22
"Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I took a deep breath and listened to the old brag of my heart; I am, I am, I am.”—Sylvia Plath, The Bell Jar https://t.co/yqlZmbqcmA #books #writing #writerslife",5,2021-07-13 00:31:21
@literarybase The Picture of Dorian Gray.,0,2021-07-13 00:19:33
"RT @bookhooe: btw helloo i'm new to #booktwt &amp; i'm looking for some moots!!
favs:
- twilight
- aristole and dante discover the secrets of t…",0,2021-07-13 00:18:03
"RT @bookhooe: btw helloo i'm new to #booktwt &amp; i'm looking for some moots!!
favs:
- twilight
- aristole and dante discover the secrets of t…",0,2021-07-13 00:10:00
"#OTD 1996 – Pandro S. Berman, Aged 91, US filmmaker. (b. 1905)

Picture of Dorian Gray * The Three Musketeers * The Bribe * Father of Bride * Ivanhoe * Knights of the Round Table * Blackboard Jungle * Bhowani Junction * BUtterfield 8 * Sweet Bird of Youth * A Patch of Blue (1965) https://t.co/1XVu44L9B2",2,2021-07-12 23:50:22
—— cr: the picture of dorian gray ! https://t.co/Ef7AdhbIny,12,2021-07-12 23:48:36
"RT @Louise_Salome_: Some things are more precious 
 because they don't last long.
You will always be fond of me. 
I represent to you all th…",0,2021-07-12 22:52:19
"@bookishcrows i think it’s going to be the picture of Dorian gray, wbu ?",0,2021-07-12 22:47:55
@MrRaceBannon Like the picture of Dorian Gray for the Cancervatives.,0,2021-07-12 22:47:11
"RT @atlurbanist: The first image is a 1927 map showing the footprint of buildings before parking dominated (source: Emory Library). 

To me…",0,2021-07-12 22:38:16
i enjoy the picture of dorian gray way too much.,0,2021-07-12 21:55:49
@wylanloml super basic but the picture of dorian gray,0,2021-07-12 21:41:11
"so cliche but read the bell jar, kafka by the shore, a picture of dorian gray, they should watch trainspotting, sofia coppola’s movies, McQueen and bojack horseman and listen to slowdive, around the fur, geidi primes, disintegration, crystal castles https://t.co/a7F796SboE",1,2021-07-12 21:12:50
i did not enjoy the ending of the picture of dorian gray by oscar wilde. i turned the page expecting there to be more but then it was just the acknowledgments. so upsetting–– was also read in the middle of a cafe in the upper east side nyc while it was pouring outside and I had-,0,2021-07-12 20:57:57
the picture of dorian gray will forever be a top tier book assigned from school,0,2021-07-12 20:25:49
"💡'Some things are more precious because they don't last long.' - Oscar Wilde, The Picture of Dorian Gray.💡 This is exactly how we feel about our handmade prcious cupcakes and this cheesecake-inspired Black Bottom treat! Available in-store and online at https://t.co/y6nIwCw30I. https://t.co/2kzARX24bT",1,2021-07-12 20:13:50
