tweets,likes,time
i started the song of achilles this morning and i’m already 300 pages in,1,2021-07-10 15:13:18
"SPOILERS: (Re: The Song of Achilles) Anyone who’s read it... what did you make of Patroclus and Deidamia having sex? It was the one part of the book I didn’t like, and found it aberrational for Patroclus. It seemed very random and was frustrating to read.",0,2021-07-10 15:09:31
"RT @aeduanlover: hello everyone !! my name is nine, i’m new to booktwt &amp; looking for mutuals. 
some of my favorite books are
- the song of…",0,2021-07-10 14:59:40
i'm still not over the Song of Achilles,0,2021-07-10 14:57:37
"Mum read to me from D’Aulaire’s when I was little, then I read “The Song of Achilles” in high school, and then I took Latin for kicks in first year from an incredible teacher (shoutout to Jennifer Knapp!) in college, and all I wanted after that was /more/.  

#workingclassicists https://t.co/0ayvNZdf4D",0,2021-07-10 14:56:45
@_jackxrose Gl for the song of Achilles 🥺,1,2021-07-10 14:56:31
@dreamsvlog the song of achilles !!,1,2021-07-10 14:51:38
RT @lantsovnette: hey besties!! im hazel and i’m new to #booktwt and would love to apply for more mutuals! here are my current favs + tbr:…,0,2021-07-10 14:47:26
might share my fav quotes/parts from the song of achilles while i weep into my pillow,0,2021-07-10 14:47:06
"RT @aeduanlover: hello everyone !! my name is nine, i’m new to booktwt &amp; looking for mutuals. 
some of my favorite books are
- the song of…",0,2021-07-10 14:40:51
RT @lantsovnette: hey besties!! im hazel and i’m new to #booktwt and would love to apply for more mutuals! here are my current favs + tbr:…,0,2021-07-10 14:29:34
RT @lantsovnette: hey besties!! im hazel and i’m new to #booktwt and would love to apply for more mutuals! here are my current favs + tbr:…,0,2021-07-10 14:29:23
"@95Z_TWTS i ahvent read it, i recommend you read the song of achilles ^^",0,2021-07-10 14:25:53
@sunsetdwt waiting for that dnf the song of achilles au,1,2021-07-10 14:25:50
Im only 5 chapters in to The Song of Achilles and im liking it so far I think ill fly through this book,0,2021-07-10 14:25:49
i am NEVER reading the song of achilles ever again. 🥲,0,2021-07-10 14:21:17
"@_coffeechai the song of achilles is beautiful. such a fun age is a nice commentary on woke culture. a little life is a good book acc to others, a bit heavy though so be prepared. u have fun reading 💚",0,2021-07-10 14:18:57
"@goodreads The Song of Achilles, by Madeline Miller https://t.co/Dk1sn7UPMZ",0,2021-07-10 14:17:01
just finished being emotionally destroyed by The Song of Achilles. excuse me while I go cry.,0,2021-07-10 14:06:45
me when i haven’t read the song of achilles https://t.co/wdYuSD22aq,1,2021-07-10 14:05:35
"my most favorite is: the song of achilles, i recommend you read it",11,2021-07-10 14:05:28
I don’t think I will ever recover from The Song of Achilles. Like the last 30 or so pages made me feel too many things to process. https://t.co/oIiF8TbAy9,1,2021-07-10 13:59:05
"im gonna Continue the The Song Of Achilles aufiobook later and im Rly excited for that *dances*
-alas",1,2021-07-10 13:42:47
"RT @ABCgrantaire: My little and humble tribute to @MillerMadeline's ""The Song of Achilles"", custom Achilles and Patroclus funko pop! I love…",0,2021-07-10 13:41:26
