tweets,likes,time
RT @BillKronoss: Sun tzu — 'All warfare is based on deception' - The Art of War,0,2021-07-12 20:42:29
"RT @Drew2C: everything Conor said about Dustin and Jolie prefight was mental warfare. 
if you dont like it, go read the book ""The Art Of Wa…",0,2021-07-12 20:33:38
"everything Conor said about Dustin and Jolie prefight was mental warfare. 
if you dont like it, go read the book ""The Art Of War"".

everything Conor said Postfight about the Poirier's just shows he's a POS.
#UFC264",3,2021-07-12 20:31:44
"RT @rawalsharjeel: I know the art of war better than anyone else, We know the country better and we know how to run its affairs- Mard E Hur…",0,2021-07-12 20:23:52
RT @lumekaaveknew: @Rofhiwa_Robz STRATEGY is the most important part in THE ART OF WAR.,0,2021-07-12 20:18:27
@Rofhiwa_Robz STRATEGY is the most important part in THE ART OF WAR.,1,2021-07-12 20:16:00
@JoePrxy USE THE ART OF WAR FROM A GAMER PERSPECTIVE! DON'T DIE BUT INSTEAD JUST RESPAWN. YEAH ITS BIG BRAIN TIME!!!,0,2021-07-12 19:45:03
"RT @TNR_Gold: ""The Art Of War"": #China's Gold And #Bitcoin Crypto Dragons. https://t.co/X0qlnU0b5f 🐉

#Dogecoin #Binance #IRS #CFTC #SEC #F…",0,2021-07-12 19:42:55
"RT @us_ignorance: @semper_vincit “He will win who knows when to fight and when not to fight.”– Sun Tzu, The Art of War",0,2021-07-12 19:39:56
"RT @DmodGmod: @TrentTentBrent Generally, whenever somebody uses the term ""fuzzy"", they are talking about a situation where a character is t…",0,2021-07-12 19:31:17
"RT @revsully: To be sure, I accept this:
The Art of War by Sun Tzu ends with a chapter on Spies.
How brilliant would it be to have a simple…",0,2021-07-12 19:30:37
"@TrentTentBrent Generally, whenever somebody uses the term ""fuzzy"", they are talking about a situation where a character is trying to be in two states ""at once"" Such as blocking for 2 different guards at once.
- Gold Fuzzy, the art of war https://t.co/68CM0cImDw",2,2021-07-12 19:30:24
"RT @kirillklip: .@ZevFima Are you talking now #BernieMadoff of #Crypto?

Jim Cramer @jimcramer investigates... @MadMoneyOnCNBC @CNBC
 
Be s…",0,2021-07-12 19:25:34
"RT @kirillklip: #Bitcoin ""Subtle differences"" in cultures in the West &amp; in the East. In the West, some still try their luck spitting in the…",0,2021-07-12 19:22:55
"RT @kirillklip: Who will invest in #Bitcoin &amp; #Crypto of the stone age during ""Silk Road"" when it was used only by drug lords &amp; other crimi…",0,2021-07-12 19:22:52
"RT @kirillklip: You have to pay dollars even for ""#Bitcoin Pizza"". 

What institution will invest in Bitcoin &amp; Crypto of the Stone Age duri…",0,2021-07-12 19:22:49
"RT @kirillklip: #Bitcoin Panda Squeeze 

#China 🐉No banking accounts, no access to any payment systems. Everybody must report on you &amp; all…",0,2021-07-12 19:22:46
"RT @kirillklip: #China As far as authorities will be concerned, U don't exist with all your #Bitcoin daydreams, but all your illegal financ…",0,2021-07-12 19:22:42
"RT @kirillklip: Watch Laser Eyes

Death by thousand cuts is coming to #Bitcoin &amp; #Crypto Bubbles. You are out of ""The System"" if you are co…",0,2021-07-12 19:22:39
"RT @kirillklip: .@ZevFima Are you talking now #BernieMadoff of #Crypto?

Jim Cramer @jimcramer investigates... @MadMoneyOnCNBC @CNBC
 
Be s…",0,2021-07-12 19:18:31
"RT @kirillklip: #NFT ""The Bull Trap of Denial"". 

Stay safe, KK.

""The Art Of War"": #China's Gold And #Bitcoin Crypto Dragons. https://t.co…",0,2021-07-12 19:14:20
"RT @kirillklip: My translation of all #Bitcoin signals coming from #China:

""#Crypto Mania Death By Thousand Cuts""

https://t.co/BpCJBWKjkg…",0,2021-07-12 19:14:17
"RT @kirillklip: My translation of all signals coming from #China, maybe, you still can hodl your Crypto in your wallet, but all #Crypto inc…",0,2021-07-12 19:14:10
"RT @kirillklip: Invest in your own Google Translator &amp; watch Chinese Dragon very carefully. This is a beautiful creature, but it will burn…",0,2021-07-12 19:14:07
Just out: includes my historical/practical intro; annotation; classic Lionel Giles’ translations of AoW (1905) &amp; Tao Te Ching (1910); &amp; integrated index of both works. “The Art of War is a book of ethical power—not force which dies with its user...”-intro https://t.co/zs6a0f4EiB https://t.co/NFLHeJA3HO,3,2021-07-12 19:05:33
"Prosaic and insipid. It's important for leaders to be stoic in times of crisis but this is rudderless and uninspiring. He's either the greatest genius in the art of war, keeping his cards close to his chest, or out of his depth, leading a party that isn't following. https://t.co/nW7H5GFHTv",0,2021-07-12 19:00:21
@FrenImperial unironically the Art of War by Sun Tizoo,3,2021-07-12 18:57:01
