tweets,likes,time
  i usually read ya romance novels and id like to broaden my horizons so anything you like i did like the picture of dorian gray though,1,2021-07-12 14:35:12
plays  'the picture of dorian gray'  roles,0,2021-07-12 14:26:06
  wait what about the picture of dorian gray,0,2021-07-12 14:25:57
currently reading the picture of dorian gray by oscar wilde amp at this point just assume im reading priory until i say im done,0,2021-07-12 14:25:09
  let me correct myself i've read other disturbingly sck books over the years a flowers in the attic b the hannibal lecter series c the picture of dorian gray creepy creepy ones but what a read,1,2021-07-12 13:45:59
  youve probably read it but the picture of dorian gray ,0,2021-07-12 13:29:32
the picture of dorian gray by oscar wilde and our little cruelties by liz nugent came to mind first,0,2021-07-12 13:22:28
the more i watch these constitutional court proceedings the more i am reminded of this passage from oscar wilde's novel the picture of dorian gray ,0,2021-07-12 13:12:24
the picture of dorian gray by oscar wilde    ,0,2021-07-12 10:38:13
i saw francis greenslade if memory serves me correctly as a teenager at club foote in adelaide doing the picture of dorian gray  an underrated super talent,6,2021-07-12 10:24:36
when i like people immensely i never tell their names to any one it is like surrendering a part of them i have grown to love secrecy it seems to be the one thing that can make modern life mysterious or marvellous to us the picture of dorian gray by oscar wilde,2,2021-07-12 10:18:21
  considering how bad he looks the picture in the attic must be truly ghastly small thing that always niggles my mild ocdit's the picture of dorian gray not portrait not your fault a common misconception please forgive me for being slightly pedantic ,2,2021-07-12 05:30:47
im reading the picture of dorian gray and i forgot how i imagined the characters and how fruity this book is ,0,2021-07-12 03:56:18
ten great lines from novels the curves of your lips rewrite history oscar wilde the picture of dorian gray i took a deep breath and listened to the old brag of my heart i am i am i amsylvia plath the bell jar        ,2,2021-07-12 03:04:43
  the alchemist the picture of dorian gray divine error,0,2021-07-12 02:07:04
reading a book that's like if the picture of dorian gray took place in pittsburgh in the s and basil was homophobic,0,2021-07-12 02:03:06
tonight for the third or fourth time i can remember dad asked me if it was edgar allan poe who wrote the picture of dorian gray and if you can't go home again was a thomas paine quote,0,2021-07-12 01:39:36
 the picture of dorian gray oscar wilde,1,2021-07-12 01:29:54
