tweets,likes,time
  the song of achilles ,0,2021-07-13 12:12:36
thinking abt when i had a whole convo w an author on twitter and it was just us fangirling over the song of achilles,1,2021-07-13 12:04:22
imagine living in a world where there's a movie based on the song of achilles what a paradise,2,2021-07-13 12:01:51
i finished the song of achilles,0,2021-07-13 11:54:32
  the song of achilles  circe,1,2021-07-13 11:39:24
wait no i'm reading the song of achilles and i looked it up and there's so much cute fanart of patroclus and achilles pls,0,2021-07-13 11:18:38
after finishing the song of achilles i know next month pako maka open ulit ug libro  ,3,2021-07-13 10:56:09
i do not tolerate homophobia at any time any day but you got a nerve being homophobic just after i finished reading the song of achilles,2,2021-07-13 10:33:37
  the song of achilles i super loved lt,0,2021-07-13 10:28:14
finished the song of achilles my heart is broken  recommend,0,2021-07-13 10:12:44
the song of achilles potential spoilers,0,2021-07-13 10:09:57
  ive been told a little life is incredibly sad if its worse than the song of achilles which i love i might be just inconsolable for days ,1,2021-07-13 10:07:11
my teacher just saw my home screen and said   isn't that harry styles then we talked about the song of achilles for  minutes safe to say i love her,0,2021-07-13 09:49:49
im reading the song of achilles rn i dont know why but i feel like im going to get brokenhearted,4,2021-07-13 09:29:05
  what if it's us by adam silvera and becky albertalli the concept and all just got to my heart and i didn't want it to end they both die at the end the song of achilles the maze runnerthe death cure amp the crank palace,0,2021-07-13 09:17:11
  the song of achilles such an eye opener to the greek mythology itself from a different perspective yes,0,2021-07-13 08:43:05
my completed list for the year so farfiction  the song of achilles murder in the age of enlightenment nonfiction  epictetus discourses and selected writings bird by birdcurrently reading  convenience store woman fiction and the body keeps score nonfiction,0,2021-07-13 08:42:08
reading the song of achilles and theyre gay  good for them good for them,59,2021-07-13 08:38:28
ts on bs n by me the song of achilles by madeline milleri loved this bookespecially how it describes love and falling in love also it is beautifully written i would recommend this book to anyone who loves greek mythology and love stories i promise youll love it,0,2021-07-13 08:18:46
every time my coworker who lent me the song of achilles asks me if i started reading i'm forced to say no still reading gideon the ninth no i started the queer principles of kit webb no my hold on wilder girls is finally coming up,3,2021-07-13 08:05:57
  the song of achilles,0,2021-07-13 07:55:18
the song of achilles killed me omg ,1,2021-07-13 07:22:35
  the song of achilles,1,2021-07-13 07:19:55
i could recognize him by touch alone by smell i would know him blind by the way his breaths came and his feet struck the earth i would know him in death at the end of the world  the song of achilles,0,2021-07-13 07:17:44
im bored any thoughts on the song of achilles  i wanna read it,0,2021-07-13 07:02:45
the song of achilles baunya kurang satisfying ,0,2021-07-13 06:58:29
planning to read the song of achilles and watch banana fish does that mean i have a death wish,1,2021-07-13 06:35:27
have any of my moots read the song of achilles,0,2021-07-13 06:15:27
have already read  books in july and nothing comes closing to being as good as the song of achilles i sense another reading slump coming up ,3,2021-07-13 06:11:51
finished the song of achilles putangina i need to collet myself,0,2021-07-13 05:54:30
  the song of achilles,0,2021-07-13 05:49:01
reaches ch  of the song of achilles amp ik ill be a wreck by the end of it amp im not ready for the end,0,2021-07-13 05:33:46
i want a movie of the song of achilles with chalamet as patroclus,1,2021-07-13 05:33:44
  the song of achilles its sooo good but very painful,0,2021-07-13 05:20:29
  percy jackson obviouslytrials of apollo all the books from rick riordanthe song of achilles,1,2021-07-13 05:20:21
 the song of achilles  circe madeline miller the children of jocasta natalie haynes ariadne jennifer saint pandoras jar natalie haynes daughters of sparta claire heywood athenas child hannah lynn,9,2021-07-13 05:17:00
when the song of achilles made mention of odysseus and the rd veiled woman being promised to him it was damn penelope ,1,2021-07-13 05:12:39
even meeven you feels like the song of achilles quotes bot or something came up with it maybe anyone could be spiderman would be their always,1,2021-07-13 04:57:57
  trust me you will love it also read the song of achilles,1,2021-07-13 04:53:55
also someone needs to buy the rights to the song of achilles movietv show right the fuck now  its been a decade the people are tired of waiting,0,2021-07-13 04:52:11
just finished the song of achilles to say im heartbroken would be an understatement,0,2021-07-13 04:47:02
just finished the song of achilles and safe to say i will be crying for the rest of my life,1,2021-07-13 04:26:02
the song of achilles is so fucking good so far omg,0,2021-07-13 04:26:00
  i just started the song of achilles,0,2021-07-13 04:24:06
i need to find someone whos read the song of achilles pls i have so much to say,3,2021-07-13 04:13:39
soliddddd the song of achilles jwnsiakqozksiwwj ,0,2021-07-13 04:13:31
  the night circus the mad women's ball the song of achilles and circe are all a gradual move from ya to contemporary literature i would say also any of fredrik backmans books are such easy reads but also so emotionally and sentimentally engaging i couldn't recommend them more,1,2021-07-13 03:50:38
the song of achilles or dance of thieves ,1,2021-07-13 03:44:37
  the song of achilles,0,2021-07-13 03:39:40
the song of achilles by madeline miller  i kinda got bored with this book tbh maybe its bcs im not that into greek mythology,0,2021-07-13 03:36:49
the song of achilles was definitely  ,0,2021-07-13 03:30:25
i'm starting the song of achilles wish me luck,3,2021-07-13 03:29:31
dont read the song of achilles unless you want to scream cry and hate yourself,2,2021-07-13 03:21:00
hiii i'm new to   and im looking for mutuals   here are some of my favorite reads harry potterthe chronicles of narniatwilight sagathe song of achillesilys oals boapls likert if u want to be mutuals ifb,3,2021-07-13 03:04:08
    have you read circe or the song of achilles both by madeline miller they're some of my favorite fantasy to come out recently,3,2021-07-13 03:03:21
  or or or or the song of achilles that one is gay and sad perfect combo,1,2021-07-13 03:01:36
i cant decide between criminal minds and started the song of achilles,2,2021-07-13 02:59:18
this is what it will be every day without him i felt a wildeyed tightness in my chest like a scream every day without him madeline miller the song of achilles,0,2021-07-13 02:52:14
  i really want the song of achilles ive heard such good things,1,2021-07-13 02:38:36
finally finished the song of achilles and i will be giving it a  rating bc that was beautiful such an amazingly written novel with so many intricate wordings and so many quotes that leave you in awe the imagery in this book is amazing,1,2021-07-13 02:34:19
i just finished reading the song of achilles and im sobbinggg ,1,2021-07-13 02:04:20
  have u read the song of achilles i sense that u have,0,2021-07-13 02:03:03
got to this one quote in the song of achilles absolutely crushed trying to not cry on the book omfg ,1,2021-07-13 01:59:32
i really did not think that i would cry while reading the song of achilles since i already knew what happened bc duh it's been known for the past  years,2,2021-07-13 01:49:14
i finished  the song of achilles  a few minutes ago and i'm still crying,1,2021-07-13 01:46:45
  the song of achilles by madeline miller,4,2021-07-13 01:26:45
i just finished the song of achilles and i cant stop crying,0,2021-07-13 01:13:29
the song of achilles,0,2021-07-13 00:59:47
the song of achilles bot chooses violence every day,2,2021-07-13 00:34:01
clockwork angelprinceprincess lady midnight the song of achilles the seven husbands of evelyn hugo we hunt the flame im sure there are others if i ran to the book store rn,2,2021-07-13 00:31:27
  apollo  i also bought  hubbies alongside the song of achilles and i have started both ,1,2021-07-13 00:11:37
if i see one more person on booktok shove the song of achilles down my throat again im going to scream its not even that good of a book,1,2021-07-13 00:00:54
goodmorningggggg time to finish the song of achilles ahahhaa ha ha,0,2021-07-12 23:58:02
  my policemanthe book theif all the light we cannot see holding up the universe a good girls guide to murderfangirlthis lie will kill you the cruel prince shatter me a series i thinkthe song of achilles red white and royal blueit ends with us,1,2021-07-12 23:46:46
